time stamp,      value
       0.0,      0.610
       0.1,      0.540
       0.2,     -1.444
       0.3,      1.087
       0.4,     -0.292
       0.5,      0.128
       0.6,      2.134
       0.7,      3.173
       0.8,      0.242
       0.9,      2.530
       1.0,      1.184
       1.1,      4.164
       1.2,      1.236
       1.3,      1.191
       1.4,      5.056
       1.5,      1.262
       1.6,      3.489
       1.7,      4.255
       1.8,      3.112
       1.9,      3.319
       2.0,      0.518
       2.1,      0.510
       2.2,      3.095
       2.3,      4.637
       2.4,      4.426
       2.5,      0.435
       2.6,      1.917
       2.7,     -0.488
       2.8,      1.875
       2.9,      1.748
       3.0,     -1.117
       3.1,      1.945
       3.2,     -1.125
       3.3,     -1.803
       3.4,     -0.827
       3.5,      0.938
       3.6,     -0.628
       3.7,     -1.440
       3.8,     -1.966
       3.9,     -2.503
       4.0,     -1.110
       4.1,     -1.865
       4.2,     -4.465
       4.3,     -3.078
       4.4,     -2.925
       4.5,     -3.513
       4.6,     -5.211
       4.7,     -0.710
       4.8,     -3.658
       4.9,     -4.877
       5.0,     -4.917
       5.1,     -3.187
       5.2,     -4.370
       5.3,     -3.557
       5.4,     -4.298
       5.5,     -1.547
       5.6,     -2.584
       5.7,     -0.022
       5.8,     -0.814
       5.9,      0.048
       6.0,     -1.368
       6.1,      0.454
       6.2,     -0.879
       6.3,     -0.040
       6.4,     -1.320
       6.5,      1.305
       6.6,      1.905
       6.7,     -0.095
       6.8,      2.252
       6.9,      1.725
       7.0,     -0.139
       7.1,      0.237
       7.2,      4.637
       7.3,      4.471
       7.4,      5.056
       7.5,      3.394
       7.6,      2.574
       7.7,      0.715
       7.8,      3.136
       7.9,      3.347
       8.0,      3.818
       8.1,      1.490
       8.2,      3.322
       8.3,      2.427
       8.4,      4.084
       8.5,      0.085
       8.6,      2.803
       8.7,      3.309
       8.8,      1.695
       8.9,     -0.517
       9.0,     -1.044
       9.1,      2.477
       9.2,      1.139
       9.3,      1.063
       9.4,      2.134
       9.5,      0.215
       9.6,      0.987
       9.7,     -0.535
       9.8,     -3.419
       9.9,     -2.383
      10.0,     -2.032
      10.1,     -2.645
      10.2,     -1.960
      10.3,     -3.583
      10.4,     -3.713
      10.5,     -0.869
      10.6,     -4.098
      10.7,     -2.110
      10.8,     -0.693
      10.9,     -5.211
      11.0,     -3.920
      11.1,     -3.904
      11.2,     -2.868
      11.3,     -4.462
      11.4,     -3.228
      11.5,     -3.386
      11.6,     -1.318
      11.7,      0.114
      11.8,     -0.031
      11.9,     -0.814
      12.0,     -0.820
      12.1,     -1.889
      12.2,      1.305
      12.3,     -1.580
      12.4,      0.363
      12.5,     -2.359
      12.6,     -0.859
      12.7,      0.490
      12.8,      1.505
      12.9,     -0.198
      13.0,     -0.949
      13.1,      1.936
      13.2,      1.486
      13.3,      4.139
      13.4,      1.571
      13.5,      2.611
      13.6,      3.737
      13.7,      2.178
      13.8,      3.481
      13.9,      1.616
      14.0,      5.056
